"Address","Pricing","Pricing Currency","Image","Built Year","Listing URL","Street Address","City","State","Zipcode","Living Area","Lot Size","Property Tax Rate","Is Zillow Owned","Last Sold Price","Description","Days on Zillow","Brokerage Name","Virtual Tour","Number of Bedrooms","Number of Bathrooms","Listing Provided By","Status"
"Austin, 9002 Slayton Dr, 78753,  TX","335000","USD","https://photos.zillowstatic.com/fp/f1a2fc12d9cb7067a62c876182fdd47e-cc_ft_192.jpg","1964","https://www.zillow.com/homedetails/9002-Slayton-Dr-Austin-TX-78753/29423921_zpid/","9002 Slayton Dr","Austin","TX","78753","1270 ","7448.76Square Feet","1.46","","","New Roof Coming Soon! This beautifully, updated and freshly painted North Lamar Park 4-bedroom, 2-bathroom single-family home offers a rare chance to own a true living ecosystem just 7 miles from the center of Austin. If you’ve been looking for a place where the outdoor space is just as intentional as the interior, this property is it. For the last decade, the owners have cultivated the ""Slayton Ecosystem,"" turning the soil into a thriving habitat of perennials and pollinator gardens. Inside, the layout feels open and connected, perfect for anyone who wants a home that supports both a quiet morning coffee and a busy evening hosting friends. Wood flooring flows throughout the home, which was updated in 2020. The kitchen was redesigned that same year with butcher block countertops and open upper shelving that keeps everything within reach. With stainless appliances and plenty of lower cabinet storage, it’s a practical, inviting space. Because you're so close to local favorites like the dining spots along North Lamar and the Domain, you’re never far from a great meal, but the kitchen is built to be used. The primary suite is a unique highlight, converted from the original garage to create a spacious, private wing. Light pours in through a large wall of windows, and the layout includes a walk-in closet that leads into an ensuite bathroom. That bathroom was updated with fresh tile and fixtures in 2020, featuring a dual vanity and a walk-in shower with a frameless glass enclosure. The rest of the home has been meticulously maintained, with the guest bathroom and the laundry room receiving new tile and fixtures just this year. The backyard is huge, with a patio and a storage shed, and ample room for a garden, fire pit area and more. Located 14 miles from the airport and minutes from major highways, this home puts you exactly where you need to be while feeling like you're in a world of your own. Washer and Dryer included!","6","","","4","2","Cory Culpepper, , , (512) 619-6009",""
"Celina, 2716 Preakness Pl, 75009,  TX","650000","USD","https://photos.zillowstatic.com/fp/d14a96d509e5323a539bac8b0e446a38-cc_ft_192.jpg","2019","https://www.zillow.com/homedetails/2716-Preakness-Pl-Celina-TX-75009/249832717_zpid/","2716 Preakness Pl","Celina","TX","75009","2713 Square Feet","6969.6Square Feet","1.41","","","Experience magazine-worthy living in this stunning one-story home by Perry Homes, located in the highly sought-after Mustang Lakes. Showcasing Perry’s largest single-story floor plan, this move-in ready home blends elevated design with everyday comfort. Featuring 4 bedrooms, 3 full baths, and a private office, the open-concept layout is both functional and impressive. Wood-look tile flooring flows throughout, paired with light, airy tones and designer finishes that truly stand out. Custom wall treatments, decorative lighting, and designer window treatments add style and sophistication—and all convey with the home. The chef’s kitchen is a standout with a gas cooktop, quartz countertops, and a large island, all opening seamlessly to the spacious living area—perfect for entertaining or everyday living. The living room is anchored by a gas fireplace with a marble tile surround and a hearth, ideal for showcasing seasonal or holiday décor. The private primary suite offers a spa-like bathroom with dual vanities and a clean, neutral palette.The private primary suite offers a spa-like bathroom with dual vanities and a clean, neutral palette.
Step outside to a covered patio, perfect for relaxing or hosting year-round.Enjoy resort-style amenities including a 12,000 sq ft amenity center, fitness facility, scenic trails, tennis courts, pools, fishing, and more. Stylish, spacious, and priced to sell—this is the one.","6","Ebby Halliday Realtors","","4","3","Kimberly Miller, Ebby Halliday Realtors, , , 972-335-6564, 972-335-6564",""
"Houston, 1119 E 7th 1/2 St, 77009,  TX","2269000","USD","https://photos.zillowstatic.com/fp/e8288a3a3f043669815eba397cc307e4-cc_ft_192.jpg","2026","https://www.zillow.com/homedetails/1119-E-7th-1-2-St-Houston-TX-77009/27853226_zpid/","1119 E 7th 1/2 St","Houston","TX","77009","4315 Square Feet","5850.108Square Feet","1.75","","","New in Norhill from the Modern Bungalow, this 4/5 bedroom, 5 1/2 bath pier and beam home offers exceptional space for today's family needs. Floorplan features include breakfast room, island AND peninsula seating for extra kitchen space, gameroom PLUS a large over-the-garage attached quarters with a kitchenette & bath. Backyard is plenty large enough for a sizable pool and is outfitted with a covered outdoor kitchen that is separate from the actual patio/sitting area. Finish features are numerous and include Hudson Valley & Visual Comfort decorative lighting, Kohler plumbing fixtures, GE Monogram in the kitchen including panel ready fridge, white oak flooring with herringbone entry, white oak boxed ceilings in dining, white oak cabinetry in kitchen, primary bath and powder, to name a few. Around the corner from the Norhill Esplanade, the center gathering space for everything Woodland Heights. Extremely walkable to Studewood and White Oak venues.","9","Boulevard Realty","","4","6","Melissa Kubala, Boulevard Realty, , , 713-862-1600",""
"Katy, 26703 Laurel Glade Dr, 77493,  TX","280000","USD","https://photos.zillowstatic.com/fp/a8de7c80cf11cf5c5a229188063f192a-cc_ft_192.jpg","2022","https://www.zillow.com/homedetails/26703-Laurel-Glade-Dr-Katy-TX-77493/2066604494_zpid/","26703 Laurel Glade Dr","Katy","TX","77493","1961 ","8546.472Square Feet","1.75","","","Beautiful 4-bedroom, 2 full bath home built in 2022 offering 1,961 sqft of modern living in a growing Katy community. This well-designed floor plan features an open-concept layout with spacious living and dining areas, ideal for both everyday living and entertaining. The kitchen seamlessly connects to the main living space, creating a bright and inviting atmosphere.
Much space on the covered patio and the spacious corner lot backyard. 
The private primary suite offers a comfortable retreat with ample space, while three additional bedrooms provide flexibility for family, guests, or a home office. Situated on a generously sized lot, the home offers outdoor potential for relaxation or future customization.

Located in a fast-growing area with convenient access to major roads, shopping, and dining, this home presents a great opportunity for buyers seeking newer construction at an attractive price point","15","","","4","2","Julia Puig Jordan, , , 832-444-4923",""
"Von Ormy, 4251 Marjoram Landing, 78073,  TX","220000","USD","https://photos.zillowstatic.com/fp/c368cd4fcfbfdfcc6abe573a65f8fefc-cc_ft_192.jpg","2025","https://www.zillow.com/homedetails/4251-Marjoram-Lndg-Von-Ormy-TX-78073/460554427_zpid/","4251 Marjoram Landing","Von Ormy","TX","78073","1280 Square Feet","4791.6Square Feet","1.77","","","*Seller is willing to assist with closing costs or a rate buy-down through preferred lender with an acceptable offer.   The Barton is a charming one-story home featured at Preserve at Medina in Von Ormy, TX. Featuring 2 classic front exteriors, this 3 bedroom, 2 bathroom home also offers 1281 square feet of living space and a 2-car garage. A front porch welcomes you into the home and opens to the gourmet kitchen which includes quartz counter tops, quality cabinets, stainless steel appliances and an open concept floorplan with the kitchen flowing seamlessly into the dining room and living room. The main bedroom has an attractive ensuite bathroom that features a quartz vanity countertop and quality cabinetry. Enjoy additional storage with a spacious walk-in closet located off of the primary bathroom. Your secondary bedrooms all feature quality carpet flooring and a closet, and can be used as bedrooms, offices, work out spaces or other bonus rooms. The possibilities are endless with The Barton floor plan. Additional features include sheet vinyl flooring in entry, living room, and all wet areas, quartz counter tops in all bathrooms and HOME IS CONNECTED base package. Using one central hub that talks to all the devices in your home, you can control the lights, thermostat and locks, all from your cellular device.","1","Marti Realty Group","","3","2","Christopher Marti, Marti Realty Group, , , (210) 660-1098",""
"Stagecoach, 16303 Cimmaron Dr, 77355,  TX","649900","USD","https://photos.zillowstatic.com/fp/3d67c42951d91fdadf393b535808d3f8-cc_ft_192.jpg","1996","https://www.zillow.com/homedetails/16303-Cimmaron-Dr-Stagecoach-TX-77355/28748813_zpid/","16303 Cimmaron Dr","Stagecoach","TX","77355","2800 Square Feet","3.7849Acres","1.64","","","Beautiful acreage retreat in Stagecoach! Situated on 3.785 serene acres backing to a creek, this property spans 3 lots and offers privacy, space, and room for horses (previously accommodated). This 1-story home features 3 bedrooms (one currently used as a study), a flex room, dining area, and a spacious family room. Major updates include: new roof with transferable warranty (2025); full kitchen and living room remodel, primary bath remodel, whole home re-piped with PEX, and flooring upgraded (2021, ~$100K); sprinkler system installed (2018). LPG tank on site is currently rented. Enjoy outdoor living with large covered front and back patios. The property also includes horse stalls, a workshop (~600 sqft), and extra parking behind the garage. The oversized 3-car garage (~840 sqft) features drive-through doors and a half bath—perfect for projects or added flexibility. Low HOA ($50/yr), No MUD, automatic gated driveway, and private neighborhood lake access complete this unique offering.","4","Treetop Realty Group","","3","3","Arch Currid, Treetop Realty Group, , , 713-540-6903",""
"Colleyville, 809 Legacy Trl, 76034,  TX","1925000","USD","https://photos.zillowstatic.com/fp/1a8c45b2800fa156a70991be6dccc78a-cc_ft_192.jpg","2016","https://www.zillow.com/homedetails/809-Legacy-Trl-Colleyville-TX-76034/245151679_zpid/","809 Legacy Trl","Colleyville","TX","76034","4259 Square Feet","0.477Acres","1.7","","","Welcome to this stunning custom modern luxury home by Larry Stewart, perfectly positioned on a coveted corner lot and meticulously maintained by its original owners. From the moment you step inside, rich hardwood floors guide you through a thoughtfully designed open-concept layout filled with natural light and elevated finishes throughout. A private office sits just off the entry, while the expansive living room showcases striking cedar beams and a wall of glass slider doors that seamlessly blend indoor and outdoor living. Designed with entertaining in mind, the home features a stylish wet bar with wine refrigerator and built-in cabinetry, flowing effortlessly into the chef’s kitchen complete with Thermador appliances, built-in refrigerator, 6-burner gas cooktop, Miele coffee maker, walk-in pantry, and abundant counter space. Two additional flexible spaces offer the perfect setup for a second office, planning center, or prep room. The first-floor primary suite is a true retreat, offering a spa-inspired bath with soaking tub, separate shower, and dual custom walk-in closets. A secondary bedroom with a full bath on the main level provides ideal accommodations for guests or multigenerational living. The downstairs media room adds even more versatility for relaxing or entertaining. Upstairs, a quaint loft creates the perfect sitting area, leading to two generously sized bedrooms, each with ensuite baths and walk-in closets. Step outside to your private backyard oasis featuring a covered patio, sparkling pool and spa, outdoor kitchen, and inviting living area with fireplace. A charming pergola offers additional seating, creating the ultimate space for year-round entertaining. This exceptional home combines luxury, comfort, and functionality in every detail, an incredible opportunity you won’t want to miss.","1","The Wall Team Realty Assoc","","4","5","Laurie Wall, The Wall Team Realty Assoc, Tonya Wuertemberger, The Wall Team Realty Assoc, , , 817-427-1200, 817-427-1200, 817-707-1498",""
"Longview, 27 Covington Dr, 75602,  TX","299000","USD","https://photos.zillowstatic.com/fp/16124874a694c266068eb32d76342f93-cc_ft_192.jpg","1943","https://www.zillow.com/homedetails/27-Covington-Dr-Longview-TX-75602/50796654_zpid/","27 Covington Dr","Longview","TX","75602","4478 ","2.01Acres","1.26","","","Step back in time to one of the most gorgeous, elegant, classic homes in Longview, TX! This stunning estate sits on around 2.01 lush acres in the heart of the South Side of Longview! COVINGTON!!! Built in a different time, this sprawling estate was constructed in 1943 with over 4,400 SF of breathtaking living space and additional, fully functional, garage/garage apartment. Upon entry you will notice original hardwood/tile flooring throughout, soaring ceilings with custom antique lighting fixtures, shiplap walls and an abundance of natural light! Charm from a time when houses were built with pride and character! Amazing downstairs layout consisting of grand formal living, two additional cozy dens, inviting sunroom/loggia, 2 wood burning fireplaces, quaint kitchen and formal Dining. Ascending upstairs, you will notice impressive wood flooring, wood banister/balusters and gorgeous views. Upstairs consists of 4-5 large bedrooms with good closets, additional upstairs living room, and more even more sensational VIEWS!! Additional amenities include city water/sewer/electricity/gas. Truly a lovely home with nearly 100 years of laughter and love! Priced @ only $66.77 a SF!!! Room to bring this stunning Southern home back to it's original GLORY/LUSTER!!!! *952 SF in a garage apartment not reflected in footage!! AMAZING DEAL!!","15","","","5","4","Marshall D Jackson, , , 903-452-6622",""
"Gordonville, 28966 Us Highway 377, 76245,  TX","100000","USD","https://photos.zillowstatic.com/fp/02edcb7954b9b8305406c3b1f79fcbbc-cc_ft_192.jpg","2003","https://www.zillow.com/homedetails/28966-Us-Highway-377-Gordonville-TX-76245/192995083_zpid/","28966 Us Highway 377","Gordonville","TX","76245","9181 ","94.17Acres","1.46","","","Why a starting bid of $100,000? Simple fact-I do not know what you are willing to pay until you tell me. Consequently, the Seller has hired me-the Auctioneer-to find out what you are willing to pay. Therefore, we will have an auction. You must be willing to show proof of funds, and you must be willing to make a competitive offer. Additionally, you must agree to the terms and conditions of the sale. Additionally, each party must register in advance. Contact the Auctioneer to find out how. Myers Jackson, Auctioneer under the direction of the seller may process and execute bids submitted (offers) that satisfy the sellers right to reservation, liberty of bidding, counter-bidding or other rights. Subject to online or offline Terms, Conditions of Sale, Offer, Price, Seller Confirmation, Buyers Premium ~ TDLR 17057","93","","","7","6","Myers Jackson, , , ",""
"Von Ormy, 15427 Mint Patch Meadow, 78073,  TX","220000","USD","https://photos.zillowstatic.com/fp/c6f995ebd6d938de35fbabe8ed1539c3-cc_ft_192.jpg","2025","https://www.zillow.com/homedetails/15427-Mint-Patch-Mdw-Von-Ormy-TX-78073/460554456_zpid/","15427 Mint Patch Meadow","Von Ormy","TX","78073","1280 Square Feet","4791.6Square Feet","1.77","","","*Seller is willing to assist with closing costs or a rate buy-down through preferred lender with an acceptable offer.  The Barton is a charming one-story home featured at Preserve at Medina in Von Ormy, TX. Featuring 2 classic front exteriors, this 3 bedroom, 2 bathroom home also offers 1281 square feet of living space and a 2-car garage. A front porch welcomes you into the home and opens to the gourmet kitchen which includes quartz counter tops, quality cabinets, stainless steel appliances and an open concept floorplan with the kitchen flowing seamlessly into the dining room and living room. The main bedroom has an attractive ensuite bathroom that features a quartz vanity countertop and quality cabinetry. Enjoy additional storage with a spacious walk-in closet located off of the primary bathroom. Your secondary bedrooms all feature quality carpet flooring and a closet, and can be used as bedrooms, offices, work out spaces or other bonus rooms. The possibilities are endless with The Barton floor plan. Additional features include sheet vinyl flooring in entry, living room, and all wet areas, quartz counter tops in all bathrooms and HOME IS CONNECTED base package. Using one central hub that talks to all the devices in your home, you can control the lights, thermostat and locks, all from your cellular device.","1","Marti Realty Group","","3","2","Christopher Marti, Marti Realty Group, , , (210) 660-1098",""
"New Braunfels, 2308 North Ranch Estates Blvd, 78130,  TX","340000","USD","https://photos.zillowstatic.com/fp/0224c73ba68c127b070d04f95b86896d-cc_ft_192.jpg","2004","https://www.zillow.com/homedetails/2308-N-Ranch-Estates-Blvd-New-Braunfels-TX-78130/69698116_zpid/","2308 North Ranch Estates Blvd","New Braunfels","TX","78130","1738 Square Feet","10497.96Square Feet","1.49","","","**Click the magic wand icon on the pictures to virtually stage each room on Zillow!** ONLY home in New Braunfels with a pool listed under $350k (4/4/26)!! Discover your dream home in this meticulously maintained single-family residence, featuring your own personal in-ground pool for those warm, sunny Texas days! This move-in-ready property features an open-concept floor plan designed for seamless living, highlighted by a gourmet kitchen with energy-efficient stainless steel appliances and expansive living areas that maximize natural light. The spacious primary suite serves as a private sanctuary with a spa-like bathroom and generous walk-in closet. Families will appreciate the premier location within the esteemed New Braunfels ISD, with County Line Elementary and New Braunfels Middle School conveniently located less than a mile away, ensuring a top-tier educational experience for every student.    Experience unparalleled convenience with an easy, stress-free commute of under 30 minutes to Joint Base San Antonio-Randolph and JBSA-Fort Sam Houston, making this an ideal location for military families and commuters alike. Situated within a 5-mile radius of the city's best attractions, you are minutes away from the world-famous Schlitterbahn Waterpark, the historic Gruene District, and the scenic beauty of Landa Park and the Comal River. For those who love to shop and dine, the Town Center at Creekside offers major retailers and entertainment just a short drive from your front door. Whether you are looking for a vibrant community or a quiet suburban feel, this residence provides the ultimate lifestyle balance. Schedule your private tour today to explore this exceptional property and see why it is the perfect place to call home.","5","Levi Rodgers Real Estate Group","","3","2","Christopher Pate, Levi Rodgers Real Estate Group, , , (210) 942-5322",""
"Katy, 22830 Spatswood Ln, 77449,  TX","345000","USD","https://photos.zillowstatic.com/fp/f0fcfe45a5aa883b05d8a7cdc1d84c91-cc_ft_192.jpg","1981","https://www.zillow.com/homedetails/22830-Spatswood-Ln-Katy-TX-77449/28408533_zpid/","22830 Spatswood Ln","Katy","TX","77449","2378 ","9936.036Square Feet","1.75","","","This impressive two-story home offers space, character, and functionality in a well-established Katy neighborhood. The dramatic living room features soaring ceilings, a classic brick fireplace, built-ins, and abundant natural light, creating a warm yet striking focal point. The kitchen flows seamlessly into the formal dining area and includes double ovens, ample cabinetry, and a sunny breakfast nook overlooking the backyard. A first-floor flex room provides the ideal space for a home office or additional living area. The private primary suite is located downstairs and features dual walk-in closets, a vanity area, and walk-in shower. Upstairs, a spacious loft overlooks the main living area and is complemented by three secondary bedrooms, including a Jack-and-Jill bath. The backyard offers a true retreat with an in-ground pool and green space, perfect for relaxing or entertaining. Conveniently located near shopping, dining, and major commuter routes.","15","","","4","3","Catherine Stellakis, , , 713-291-9248",""
"San Antonio, 14201 Mesquite Smoke St, 78217,  TX","297000","USD","https://photos.zillowstatic.com/fp/8c333b0ccad0ab4314471744b81b2d73-cc_ft_192.jpg","1973","https://www.zillow.com/homedetails/14201-Mesquite-Smoke-St-San-Antonio-TX-78217/26369652_zpid/","14201 Mesquite Smoke St","San Antonio","TX","78217","1412 Square Feet","10715.76Square Feet","1.77","","","** OPEN HOUSE on Saturday, 04/11/2026 from 10am-12pm and Sunday,  04/12/2026 from 1-3pm ** Beautiful single story home in San Antonio featuring an all white brick exterior and no HOA. Completely renovated and essentially a brand new home, combining modern upgrades with timeless charm for a truly move in ready experience. Inside, you will find an open floor plan highlighted by vaulted ceilings with wood beams and recessed lighting throughout, along with new flooring, new doors, new fixtures, and fresh interior and exterior paint. The living room features a stunning floor to ceiling brick fireplace, creating a warm and inviting focal point. The kitchen is designed for both style and functionality, featuring new level 5 quartz countertops, new appliances, and updated finishes throughout, along with a sleek tile backsplash and seamless flow into the main living area. The primary suite provides a well designed retreat with a built in desk, new mirrors, and a spacious walk in closet. The ensuite bathroom includes double vanities and a tile shower, all completely new for added convenience. Additional major upgrades include new HVAC, new roof, and new landscaping, offering both peace of mind and lasting value. Step outside to enjoy a private backyard complete with a covered patio, storage shed, and greenhouse, perfect for relaxing or outdoor hobbies. Conveniently located with easy access to Randolph Air Force Base, Fort Sam Houston, and the San Antonio International Airport, this home provides excellent connectivity across San Antonio.","3","Exquisite Properties, LLC","","3","2","Ataliya Brown, Exquisite Properties, LLC, , , (210) 494-1695",""
"Converse, 8230 Coppergate, 78109,  TX","114000","USD","https://photos.zillowstatic.com/fp/b5543e09d25d97ad75ba38ead3da17f9-cc_ft_192.jpg","1996","https://www.zillow.com/homedetails/8230-Coppergate-Converse-TX-78109/26184668_zpid/","8230 Coppergate","Converse","TX","78109","1549 ","7492.32Square Feet","1.77","","","Investor Opportunity! This 3-bedroom, 2-bath single-story home offers 1,549 sq ft of potential in a well-established area with mature trees. Conveniently located near shopping, dining, and military bases, this property is ideal for a rental, flip, or long-term hold. With solid fundamentals and a desirable location, this is a great addition to any investor's portfolio.","8","","","3","2","Toni Smart, , , (210) 695-3663",""
"New Braunfels, 1873 Luna Street, 78132,  TX","634900","USD","https://photos.zillowstatic.com/fp/b374a9d45764b4537f86c37c03028113-cc_ft_192.jpg","2024","https://www.zillow.com/homedetails/1873-Luna-St-New-Braunfels-TX-78132/344681726_zpid/","1873 Luna Street","New Braunfels","TX","78132","2594 Square Feet","6534Square Feet","1.16","","","Spectacular Home located in the Veramendi community of New Braunfels, this beautifully designed 4-bedroom, 3.5-bath home offers the perfect blend of comfort, functionality, and resort-style living in one of the area's most desirable neighborhoods with top-rated schools, a playground, walking trails, parks, community pool and a vibrant recreation center just moments away. This isn't just a home its a lifestyle!!  This thoughtfully designed floor plan features a spacious primary suite downstairs along with a private guest suite with its own bathroom and dedicated study-ideal for multigenerational living, working from home, or hosting visitors with ease. Loads of extras and upgrades including: Water Softener, reverse osmosis system, gas cooking. Escape the stress in the relaxing primary bath with large soaking tub and separate walk in shower. Upstairs, two additional bedrooms and a large game room create the perfect retreat for family, friends, and guests!  At the heart of the home is a stunning gourmet kitchen featuring an oversized island, abundant counter space, and an open-concept layout that flows seamlessly into the living and dining areas-perfect for entertaining or everyday living.  Step outside to your private backyard oasis complete with an in-ground pool and relaxing spa, making this home the ultimate escape for cooling off during warm Texas summers and enjoying year-round outdoor living.  With its flexible layout, elegant entertaining spaces, and resort-style backyard, this home truly offers all-inclusive living in one of New Braunfels' most desirable communities- Veramendi!! Perry Homes 10 year builder warranty is transferrable to new owners.  Open House April 3rd & 4th 1-3pm.","8","Keller Williams Heritage","","4","4","Isabel Owen, Keller Williams Heritage, , , (210) 391-7938",""
"Round Rock, 4101 Presidio Ln, 78681,  TX","435000","USD","https://photos.zillowstatic.com/fp/a2dc6d78e0a4da39f18701dcb10d88b9-cc_ft_192.jpg","2017","https://www.zillow.com/homedetails/4101-Presidio-Ln-Round-Rock-TX-78681/243339607_zpid/","4101 Presidio Ln","Round Rock","TX","78681","2260 Square Feet","7453.116Square Feet","1.58","","","Beautiful home on a large corner lot in the Highlands at Mayfield Ranch! Built in 2017, this fantastic floorplan offers a spacious downstairs primary suite with a bay window overlooking the back deck, an open family/breakfast/kitchen layout, and a formal dining room off the entry that also works perfectly as a home office. Upstairs features a second living area and generously sized secondary bedrooms. Upgrades include granite countertops in the kitchen and baths, wood-look tile throughout the downstairs living areas, new carpet, and an energy-efficient tankless water heater. The backyard is built for entertaining with a covered patio, gas line for grilling, and an extended appx. 350 sq ft composite deck overlooking the large yard. Ideally located just a short distance from the neighborhood park and pool and Hwy 1431, giving you quick access to major roads I-35, Parmer, and 183. Minutes to the nearly 800-acre Southwest Williamson County Regional Park, restaurants, shopping, hospitals, IKEA, Round Rock Outlets and so much more!","1","Keller Williams Realty","","4","3","Laurie Flood, Keller Williams Realty, , , 512-576-1504, (512) 346-3550",""
"Gun Barrel City, 113 Karen Ln, 75156,  TX","129999","USD","https://photos.zillowstatic.com/fp/c818865994b0d6ce88d058da4904af4e-cc_ft_192.jpg","1992","https://www.zillow.com/homedetails/113-Karen-Ln-Gun-Barrel-City-TX-75156/90387311_zpid/","113 Karen Ln","Gun Barrel City","TX","75156","1386 Square Feet","0.86Acres","1.1","","","Investor special with strong upside, this property is ideal for buyers ready to bring vision and renovation to life. Rare opportunity to own a multi-lot property just moments from Cedar Creek Lake, offering approximately 0.86 acres of land combined. This unique property includes multiple structures and is surrounded by mature trees, creating a private, peaceful setting with plenty of room to expand, build, or reimagine.
Located near a community boat ramp and dock, this property is perfect for those looking to enjoy lake living while capitalizing on the strong growth in the surrounding area. With new construction and development happening nearby, the upside potential here is significant.
The existing improvements provide a solid foundation for a renovation project, rental portfolio, or full redevelopment. Whether you're an investor looking to flip, build multiple homes, create a long-term hold, or design your own lakeside retreat, this property offers flexibility and opportunity that is hard to find in this location.
All lots are included in the sale, giving you maximum control and future potential.","5","Monument Realty","","3","2","Chaz Cameli, Monument Realty, , , 714-580-6346, 214-705-7827",""
"Houston, 17215 Fernchase Ct, 77095,  TX","299999","USD","https://photos.zillowstatic.com/fp/ad6221a64ca9bf5ef0efd765176fca12-cc_ft_192.jpg","2006","https://www.zillow.com/homedetails/17215-Fernchase-Ct-Houston-TX-77095/70310780_zpid/","17215 Fernchase Ct","Houston","TX","77095","1896 Square Feet","5941.584Square Feet","1.75","","","Updated in 2026 with fresh paint, new bedroom carpet, and updated electrical covers. Open-concept layout with spacious kitchen and flex room. Private cul-de-sac lot with no back neighbors, covered patio, and double-wide driveway. Features include recessed lighting, brick exterior, and an oversized primary suite with soaking tub and walk-in shower. Walk to the pool, park, clubhouse, and tennis courts.","23","Corcoran Prestige Realty","","3","2","James Krueger, Corcoran Prestige Realty, Isaigha McNeil, Corcoran Prestige Realty, , , 713-364-4003, 713-364-4003",""
"San Antonio, 7650 Heavenly Arbor, 78254,  TX","329900","USD","https://photos.zillowstatic.com/fp/3a991f89cfb38b1bef20de2135b64ae7-cc_ft_192.jpg","2016","https://www.zillow.com/homedetails/7650-Heavenly-Arbor-San-Antonio-TX-78254/122499949_zpid/","7650 Heavenly Arbor","San Antonio","TX","78254","2408 Square Feet","6534Square Feet","1.77","","","*ASSUMABLE VA LOAN @ 3.99% RATE & SELLER OFFERING CLOSING COST CREDITS TO BUYER!!* Welcome to 7650 Heavenly Arbor, nestled in the desirable Cross Creek community on San Antonio's Northwest side. This charming two-story home offers 3 bedrooms, 2.5 baths, and a versatile bonus room downstairs-perfect for an office, playroom, or flex space. The inviting open-concept layout showcases wood-look tile flooring throughout the main areas and a beautifully designed kitchen that exudes modern contemporary style. Enjoy quartz countertops, subway tile backsplash, black hardware and fixtures, and a brand-new stainless steel stove-ideal for entertaining or cooking your favorite meals. Upstairs, you'll find all bedrooms along with a spacious loft area and a conveniently located laundry room, eliminating the hassle of carrying laundry up and down the stairs. The serene primary suite offers comfort and privacy, while the secondary bedrooms are well-sized for family or guests. Step outside to your private backyard oasis overlooking a peaceful greenbelt-perfect for relaxing on your patio and enjoying quiet evenings. Located just minutes from Alamo Ranch Shopping Center, Casablanca Theatre, HEB, and major highways including Loop 1604, Hwy 151, and FM 1560, this home combines comfort and convenience. Outside city limits-this property qualifies for USDA financing with $0 money down! Don't miss your opportunity to own this move-in ready home in one of the most sought-after areas of Northwest San Antonio.","10","San Antonio Portfolio KW RE","","3","3","Monique Cardenas, San Antonio Portfolio KW RE, , , (210) 254-8336",""
"El Paso, 3197 Lonesome Dove Cir, 79936,  TX","275000","USD","https://photos.zillowstatic.com/fp/7af69cd57a5376ec71eaf4280d63c90c-cc_ft_192.jpg","1992","https://www.zillow.com/homedetails/3197-Lonesome-Dove-Cir-El-Paso-TX-79936/27427642_zpid/","3197 Lonesome Dove Cir","El Paso","TX","79936","2175 Square Feet","5662.8Square Feet","2.15","","","Tucked into a quiet, forgotten pocket of the city, 3197 Lonesome Dove sits on a street where mature trees and a slower pace define the neighborhood. This home is a standout example of local renewal, thoughtfully brought back to life with a focus on quality over trends. The renovation features clean, timeless finishes and an abundance of natural light throughout. The sunroom is a true highlight, a versatile space perfect for morning coffee, a home office, or a creative studio.

The layout offers rare flexibility for modern living. A converted garage provides a generous second living area ideal for a family room or home business, while the primary bedroom is remarkably spacious, designed as a true retreat. With two master suites, there is a level of privacy and comfort that works perfectly for guests or multi-generational households. Located away from heavy traffic yet close to every convenience, this home respects its roots while raising the standard for the future. A home designed for how you actually live.","1","Center Real Estate","","4","2","Luis Carlos Perez, Center Real Estate, Diana V Verdugo, Center Real Estate, , , 915-525-5161, 915-240-2137",""
"Waco, 2208 Cumberland Ave, 76707,  TX","199000","USD","https://photos.zillowstatic.com/fp/14bcb0c02540fa41783379a2a5ad1f1b-cc_ft_192.jpg","1916","https://www.zillow.com/homedetails/2208-Cumberland-Ave-Waco-TX-76707/52102284_zpid/","2208 Cumberland Ave","Waco","TX","76707","1710 ","8232.84Square Feet","1.4","","","Fully occupied duplex in the heart of Waco! This fully occupied duplex delivers immediate cash flow with a 100% occupancy rate and low overhead. Built in 1916 and spanning 1,710 sq ft, this one-story property consists of two income-producing units with solid rental history. Reach out for financials or to schedule a walkthrough—this opportunity won't last.","0","","","4","3","Kimberly N Smith, , , ",""
"Galveston, 1301 Market St, 77550,  TX","1799000","USD","https://photos.zillowstatic.com/fp/60cd3789714949a0532ea201f6668ad9-cc_ft_192.jpg","1916","https://www.zillow.com/homedetails/1301-Market-St-Galveston-TX-77550/27656946_zpid/","1301 Market St","Galveston","TX","77550","6553 ","0.35Acres","1.61","","","Experience the beauty of the 1916 Runge House in the East End Historic District. This Mediterranean Italian Villa style offers three levels of luxury living space; this stucco residence spans an impressive 6553 square feet; meticulous craftsmanship and detailing in this architectural masterpiece. Paneled walls and crown molding grace the interiors, and arched windows with plantation shutters for natural light. It has an elevator, hardwood floors, five bedrooms, five and a half bathrooms, a gourmet kitchen, and a large breakfast area with a deck, custom patios, and porches. Lush landscaping surrounds the property. The pool is a sanctuary complemented by multiple outside seating areas and the beauty of its surrounding. Attached two-car garage with more covered parking spaces. The Runge House is an extraordinary dwelling that must witness firsthand to appreciate it fully. Can be used as a Vacation Rental and within walking distance of the cruise terminal. Schedule your showing today!","92","","","5","6","Lisa Marie Sanders, , , 281-900-9663",""
